objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,GlobalID_2,Shape__Area,Shape__Length
140,127,2.42223092,105511.95690008,Community Park,CP,16,Mellon Square Park,Mellon Square Park,Mellon Square Park,State,972.19563334,edbff294-ea77-46e2-be64-dcfebbf319e8,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,1.40141912716669,4cebca4a-013e-4a15-85df-ba8acf850bad,9802.41796875,389.536308322276
141,33,0.82228138,35818.43377756,Neighborhood Park,NP,1,Catalano Parklet,Catalano Park,Catalano Park,Northern,567.15573912,747d5630-9fcb-42d3-bd33-ba7774dee3cb,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.475472069430679,96a4f540-e552-47ff-87af-0fcfdc6be0f1,3327.640625,227.295282749423
142,216,1.25575004,54700.25305114,Special Use Park,SU,,,Brighton Heights Healthy Active Living Center,,,,,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.725711334549979,26897bac-17e4-4dcc-9f1c-bdcdc609a473,5081.84375,285.571333411131
143,116,4.78104456,208261.46789558,Neighborhood Park,NP,2,Marmaduke Playground,Marmaduke Park,Marmaduke Park,Northern,1791.42794545,273f4bbe-25d9-42a3-a546-370af99b1275,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,2.76257840442924,b6d1ec7d-fd37-48d7-a382-582dfeb9d672,19348.1953125,718.04904778762
144,180,0.54616124,23790.68833304,Beautification Site,BTF,16,Thomas Parklet,Thomas Park,Thomas Park,State,685.98510414,29ea1e26-197f-4e3d-926b-4fd4b7988d76,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.316031566840351,3f988220-a25d-4ade-9276-e85f27361c85,2210.2421875,275.024975347243
145,139,17.47531092,761221.49872228,Riverfront Park,RVR,16,Northshore Riverfront Park,Northshore Riverfront Park,Northshore Riverfront Park,State,10104.3707589,68640034-1684-42f3-b6ea-c292096f526e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,10.1092504097426,0811f6bf-41a3-40da-951e-a3e2ee5a7299,70720.0546875,4043.19674100632
146,51,1.39374652,60711.35564631,Neighborhood Park,NP,13,Duncan Parklet,Duncan Park,Duncan Park,Northeast,765.09522208,11bb27fa-771b-4ed0-92e5-c66f27b8e336,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,0.805437567716807,be1faebc-cd40-48e9-99ce-e343e3f9b285,5640.2890625,306.723324106503
147,53,103.63816573,4514460.44118557,Community Park,CP,3,East Common Park,Allegheny Commons,Allegheny Commons Park,State,8643.01965726,ed54111f-f829-49c1-87b0-4f0e06c2ccaa,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,59.9399541588162,cbaee2d3-a6d4-472d-94ba-523cd4804bf9,425350.83984375,8889.11378906667
148,4,3.82548464,166637.44452129,Riverfront Park,RVR,16,Allegheny Landing Park,Allegheny Landing Park,Allegheny Landing Park,State,1579.93365704,4c54672c-8a00-4670-a599-1b3e59c22d84,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,2.2128864767548,cf34bfd9-d605-461f-852c-027a6205ebbe,15481.19921875,632.932863268901
149,72,3.3819496,147317.13547157,Neighborhood Park,NP,12,Friendship Park,Friendship Park,Friendship Park,Northeast,1901.42659879,f95cbafc-dcd8-493f-8b98-89745c6434ca,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,1.95542981911229,7f4246e3-1151-4d81-950c-5b6bd476d249,13686.27734375,760.982635901737
150,191,18.72817624,815796.09399299,Neighborhood Park,NP,11,Westinghouse Park,Westinghouse Park,Westinghouse Park,Eastern,2747.68890417,e473b3f9-3e8a-49cb-8523-ef32365cdd25,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,10.8316327781531,8fe29a83-407e-4fb3-900c-f72656e93fca,70274.140625,1066.42447699764
151,156,3.42480831,149184.05337951,Regional Park,RP,6,Ream Parklet,Emerald View Park - Ream Park,Emerald View Regional Park,Western,1359.15606601,e532a31c-a671-42ae-98da-2ed252192a64,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,1.98205995570538,a32fb284-c538-475a-9b06-70418e1c6bd2,13859.71484375,544.722266512902
152,167,88.46757665,3853632.22422657,Community Park,CP,4,Sheraden Park,Sheraden Park,Sheraden Park,Western,16358.8352357,351ad94c-c15c-4b25-a11a-f467977f0134,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,51.1576438604843,1e41bdeb-d89d-46f6-958a-088c6f3dde04,358015.609375,6557.10619721656
153,35,10.63213832,463134.09255443,Neighborhood Park,NP,4,Chartiers Playground,Chartiers Park,Chartiers Park,Western,2197.20250399,3bd43bb8-9677-45be-8b89-7d05c1d78cf6,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,6.14846032674512,095487a6-fd84-4a10-b2a4-394acb85ff2f,43026.73046875,880.608649408887
154,15,6.06548243,264211.35790473,Public School,SCH,5,Banksville School,Banksville School Park,Banksville School,Western,573.32148474,8e5ecb6a-dba7-449f-bef7-d76ac0c446b4,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,3.51277953360786,4220a5ea-29bf-4cdc-a99a-01ec3350bd8b,24546.140625,768.023649917183
155,201,106.31463081,4631046.7936921,Regional Park,RP,6,Duquesne Heights Greenway,Emerald View Park - Duquesne Heights Greenway,Emerald View Regional Park,Western,28271.46514,32e0f94b-541f-421b-b9cb-570b3b856d2e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,61.5220157468088,206a159f-ce44-4eab-ae9b-bcd143592258,430240.0234375,11328.7466060843
156,40,0.59470512,25905.25152933,Neighborhood Park,NP,4,Crafton Heights Tot Lot,Crafton Heights Park,Crafton Heights Park,Western,540.46194742,9fdbedd7-5f9c-4171-a8f3-abe2b238437f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,0.344124263082221,b922b340-008a-4bcb-b575-822940cc43df,2406.6796875,216.405013781333
157,171,28.94917455,1261020.99917492,Riverfront Park,RVR,7,Southside Riverfront Park,Southside Riverfront Park,Southside Riverfront Park,Southern,14053.0359603,99ccb4c8-bc0c-403d-9442-3364c6e21096,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,16.753652101902,8fe2d7dc-e78c-4c21-8e37-5cf0f8d2b55f,117153.2109375,5623.1937823089
